order_id,ship_service_level,ship_city,ship_state,ship_postal_code,ship_country,courier_status,fulfilled_by
404-7774085-3780319,Expedited,HYDERABAD,TELANGANA,500028.0,IN,Shipped,
402-2764952-1492318,Standard,LUCKNOW,UTTAR PRADESH,226016.0,IN,Shipped,Easy Ship
406-0272200-7784379,Expedited,CHENNAI,TAMIL NADU,600033.0,IN,Shipped,
403-4367956-2849158,Expedited,NEW DELHI,DELHI,110092.0,IN,Shipped,
403-4242957-8599555,Expedited,THIRUVANANTHAPURAM,KERALA,695011.0,IN,Shipped,
408-7165704-5643524,Expedited,GREATER NOIDA,UTTAR PRADESH,201306.0,IN,Shipped,
402-8210765-3935569,Expedited,JABALPUR,MADHYA PRADESH,482002.0,IN,Shipped,
406-7398201-3869914,Standard,MUMBAI,MAHARASHTRA,400092.0,IN,Shipped,Easy Ship
408-3478480-0881162,Expedited,LUCKNOW,UTTAR PRADESH,226017.0,IN,Shipped,
402-7595162-9129931,Expedited,MUMBAI,MAHARASHTRA,400076.0,IN,Shipped,
171-6876154-6233146,Expedited,KOLKATA,WEST BENGAL,700014.0,IN,Shipped,
408-3917043-5314763,Expedited,ONGOLE,ANDHRA PRADESH,523001.0,IN,Shipped,
408-9281152-6213100,Expedited,SECUNDERABAD,TELANGANA,500017.0,IN,Shipped,
403-3496411-3082707,Expedited,HYDERABAD,TELANGANA,500062.0,IN,Shipped,
171-9208368-0157156,Standard,KEWALPUR,UTTAR PRADESH,271881.0,IN,Shipped,Easy Ship
408-2137113-0982751,Expedited,CUTTACK,ODISHA,753012.0,IN,Shipped,
402-3628566-9688333,Expedited,BADLAPUR,MAHARASHTRA,421503.0,IN,Shipped,
408-7138000-9728362,Expedited,dimapur,NAGALAND,797112.0,IN,Shipped,
402-1752649-2274748,Expedited,BENGALURU,KARNATAKA,560047.0,IN,Shipped,
402-7944191-1869101,Expedited,BENGALURU,KARNATAKA,560076.0,IN,Shipped,
407-4063876-9566742,Expedited,WARANGAL,TELANGANA,506001.0,IN,Shipped,
403-0752752-4656334,Expedited,DHAULPUR,RAJASTHAN,328024.0,IN,Shipped,
406-8879861-2081117,Expedited,GUWAHATI,ASSAM,781029.0,IN,Shipped,
406-8089333-7941903,Expedited,Bengaluru,KARNATAKA,560103.0,IN,Shipped,
171-3072652-6805159,Expedited,HYDERABAD,TELANGANA,500072.0,IN,Shipped,
171-2592464-6846743,Standard,BENGALURU,KARNATAKA,560023.0,IN,Shipped,Easy Ship
404-2262140-4696366,Expedited,NAGPUR,MAHARASHTRA,440022.0,IN,Shipped,
405-3594372-1614709,Expedited,GREATER NOIDA,UTTAR PRADESH,201306.0,IN,Shipped,
407-2974257-4781134,Expedited,THANE,MAHARASHTRA,400607.0,IN,Shipped,
171-4137548-0481151,Expedited,Dahod,Gujarat,389151.0,IN,Cancelled,
405-4461562-9113959,Expedited,RANCHI,JHARKHAND,834004.0,IN,Shipped,
404-4535078-5241919,Expedited,PUNE,MAHARASHTRA,411014.0,IN,Shipped,
405-8387725-2971512,Expedited,BENGALURU,KARNATAKA,560040.0,IN,Shipped,
405-6480932-8759528,Expedited,VIJAPURA,KARNATAKA,586201.0,IN,Shipped,
405-9966506-3155561,Standard,CHENNAI,TAMIL NADU,600041.0,IN,Shipped,Easy Ship
408-7029737-8028367,Expedited,MUMBAI,MAHARASHTRA,400080.0,IN,Shipped,
407-2189901-7515567,Standard,bangalore,KARNATAKA,560001.0,IN,Shipped,Easy Ship
402-2105657-2899562,Expedited,BENGALURU,KARNATAKA,560098.0,IN,Shipped,
406-1326801-8886709,Standard,BERHAMPUR,ODISHA,760002.0,IN,Shipped,Easy Ship
408-7760667-5809130,Expedited,HYDERABAD,TELANGANA,500085.0,IN,Shipped,
405-8457623-9269955,Expedited,PUNE,MAHARASHTRA,411045.0,IN,Shipped,
408-6820155-3521913,Expedited,TEZPUR,ASSAM,784001.0,IN,Shipped,
403-6190683-2687538,Expedited,HIMMATNAGAR,Gujarat,383001.0,IN,Shipped,
408-4069830-3819562,Expedited,Kolkata,WEST BENGAL,700048.0,IN,Shipped,
171-7367545-7081126,Expedited,HYDERABAD,TELANGANA,502032.0,IN,Shipped,
404-6522553-9345930,Standard,DEHRADUN,UTTARAKHAND,248001.0,IN,,Easy Ship
403-9950518-0349133,Expedited,HYDERABAD,TELANGANA,500072.0,IN,Cancelled,
407-6599093-6553153,Standard,KOLKATA,WEST BENGAL,700078.0,IN,Shipped,Easy Ship
403-3763475-2237125,Expedited,DHARMAPURI,TAMIL NADU,636705.0,IN,Shipped,
405-1492294-0323520,Expedited,DEHRADUN,UTTARAKHAND,248005.0,IN,Shipped,
403-1162895-2484367,Standard,JAIPUR,RAJASTHAN,303905.0,IN,Shipped,Easy Ship
171-6833843-5473114,Expedited,VADODARA,Gujarat,390019.0,IN,Shipped,
403-1477057-8253913,Expedited,CHAVAKKAD,KERALA,680506.0,IN,Shipped,
408-2114413-6089906,Expedited,PATNA,BIHAR,800026.0,IN,Shipped,
405-1879750-2639521,Standard,CHENNAI,TAMIL NADU,600028.0,IN,Shipped,Easy Ship
406-5727754-5302723,Expedited,VADODARA,Gujarat,390018.0,IN,Shipped,
405-0901744-8270705,Expedited,VADODARA,Gujarat,390003.0,IN,Shipped,
405-9112089-3379536,Expedited,PUNE,MAHARASHTRA,411046.0,IN,Cancelled,
408-6357132-2310703,Expedited,Jammu,JAMMU & KASHMIR,180011.0,IN,Shipped,
406-5334922-9670748,Expedited,bangalore,KARNATAKA,560026.0,IN,Shipped,
402-8519791-3706738,Expedited,NEW DELHI,DELHI,110036.0,IN,Shipped,
408-1830318-0357940,Expedited,NARNAUND,HARYANA,125039.0,IN,Shipped,
406-5103760-7326749,Expedited,Ahmedabad,Gujarat,380051.0,IN,Shipped,
402-7841951-1872363,Expedited,NEW DELHI,DELHI,110036.0,IN,Cancelled,
408-7698765-2294756,Standard,AMBARNATH,MAHARASHTRA,421502.0,IN,Shipped,Easy Ship
404-1856281-9996319,Standard,GWALIOR,MADHYA PRADESH,474005.0,IN,Shipped,Easy Ship
406-5406738-7113145,Expedited,NEW DELHI,DELHI,110078.0,IN,Shipped,
405-5257740-5301158,Standard,ROHTAK,HARYANA,124001.0,IN,Shipped,Easy Ship
405-2072502-4089911,Expedited,ROHTAK,HARYANA,124001.0,IN,Shipped,
405-0882561-5952340,Expedited,Kolkata,WEST BENGAL,700156.0,IN,Shipped,
403-7266170-1163500,Standard,MUMBAI,MAHARASHTRA,400076.0,IN,Shipped,Easy Ship
405-8114272-1687512,Expedited,NEW DELHI,DELHI,110034.0,IN,Shipped,
171-6138639-1478731,Expedited,HYDERABAD,TELANGANA,500054.0,IN,Shipped,
405-4059216-4541150,Expedited,HYDERABAD,TELANGANA,500072.0,IN,Shipped,
405-1152015-7333945,Expedited,PATNA,BIHAR,800002.0,IN,Shipped,
406-0177436-6731556,Expedited,RAMAGUNDAM,TELANGANA,505211.0,IN,Shipped,
406-0715107-8168308,Expedited,PITHORAGARH,UTTARAKHAND,262501.0,IN,Shipped,
403-0104882-7373900,Expedited,HIMMATNAGAR,Gujarat,383001.0,IN,Unshipped,
405-3002282-6797102,Expedited,KOLKATA,WEST BENGAL,700057.0,IN,Shipped,
407-8466904-3461908,Expedited,MUMBAI,MAHARASHTRA,400101.0,IN,Shipped,
171-3305587-5364338,Expedited,HYDERABAD,TELANGANA,500053.0,IN,Shipped,
406-8961316-8137943,Standard,"GUWAHATI, KAMRUP (M)",ASSAM,781014.0,IN,Shipped,Easy Ship
171-2813040-8296320,Expedited,KOLAR,KARNATAKA,563101.0,IN,Shipped,
408-9845791-1393151,Expedited,PATIALA,PUNJAB,147001.0,IN,Shipped,
402-4277204-2348328,Expedited,REWA,MADHYA PRADESH,486001.0,IN,Shipped,
171-3049339-2085136,Expedited,BONGAIGAON,ASSAM,783380.0,IN,Shipped,
405-9928526-2470747,Expedited,HYDERABAD,TELANGANA,500087.0,IN,Shipped,
405-4908072-0260360,Standard,BENGALURU,KARNATAKA,560055.0,IN,Shipped,Easy Ship
406-3984186-5973150,Expedited,Chengalpattu,TAMIL NADU,603002.0,IN,Shipped,
171-8635309-7508346,Expedited,PERAMBALUR,TAMIL NADU,621212.0,IN,Shipped,
171-0293372-4913973,Expedited,KOLAR,KARNATAKA,563101.0,IN,Cancelled,
402-8288606-4313118,Expedited,BILASPUR,HIMACHAL PRADESH,174001.0,IN,Shipped,
402-8746990-6412346,Expedited,CHENNAI,TAMIL NADU,600099.0,IN,Shipped,
402-0294212-5431551,Expedited,VARANASI,UTTAR PRADESH,221010.0,IN,Shipped,
406-1530134-2105912,Expedited,BENGALURU,KARNATAKA,560036.0,IN,Shipped,
403-5222550-4437140,Expedited,COIMBATORE,TAMIL NADU,641035.0,IN,Shipped,
408-1482435-5202714,Standard,CHIRMIRI,CHHATTISGARH,497449.0,IN,Shipped,Easy Ship
403-6442534-2769112,Expedited,AZAMGARH,UTTAR PRADESH,276302.0,IN,Cancelled,
408-3113070-0750756,Expedited,KALYAN,MAHARASHTRA,421306.0,IN,Shipped,
404-7796841-1880317,Expedited,NEW DELHI,DELHI,110016.0,IN,Shipped,
405-2142542-0941949,Expedited,HYDERABAD,TELANGANA,502032.0,IN,Shipped,
405-0286717-7761132,Standard,HYDERABAD,TELANGANA,502032.0,IN,Shipped,
406-9021273-9221106,Expedited,GUWAHATI,ASSAM,781026.0,IN,Shipped,
404-5381335-4577925,Expedited,MYSORE,KARNATAKA,570008.0,IN,Shipped,
171-0131752-2560336,Standard,BARABANKI,UTTAR PRADESH,225001.0,IN,Shipped,Easy Ship
407-4235449-1353916,Standard,AMILA,UTTAR PRADESH,275301.0,IN,Shipped,Easy Ship
171-8061614-5688327,Expedited,VIJAYAWADA,ANDHRA PRADESH,520010.0,IN,Shipped,
407-8248783-4261958,Expedited,RAWAN AMBUJA CEMENT PLANT,CHHATTISGARH,493331.0,IN,Shipped,
404-6513062-3876305,Standard,TIRUCHIRAPPALLI,TAMIL NADU,620018.0,IN,Shipped,Easy Ship
406-7779874-9136347,Expedited,HERBERTPUR,UTTARAKHAND,248142.0,IN,Shipped,
406-9638549-1733961,Expedited,BENGALURU,KARNATAKA,560048.0,IN,Shipped,
407-8801185-0134713,Expedited,bangalore,KARNATAKA,560001.0,IN,Shipped,
171-3625443-6505905,Expedited,KALAMASSERY,KERALA,682021.0,IN,Shipped,
402-8078642-8565124,Expedited,Puri-2,ODISHA,752002.0,IN,Cancelled,
402-2820441-9623566,Expedited,TIKABALI,ODISHA,762010.0,IN,Shipped,
171-4312987-5366767,Expedited,BIHARSHARIF,BIHAR,803115.0,IN,Shipped,
403-5189998-9343503,Expedited,HYDERABAD,TELANGANA,500075.0,IN,Shipped,
407-9863928-5979501,Standard,PARAVUR,KERALA,683513.0,IN,Shipped,Easy Ship
171-4644162-9093116,Standard,BASTI,UTTAR PRADESH,272001.0,IN,Shipped,Easy Ship
406-0974406-3179521,Expedited,WALAJAPET,TAMIL NADU,632513.0,IN,Shipped,
402-0048138-1845122,Expedited,Dimapur,NAGALAND,797112.0,IN,Shipped,
407-6283946-7749133,Expedited,Bengaluru,KARNATAKA,560029.0,IN,Shipped,
407-0542879-1795554,Standard,Mahendragarh,HARYANA,123027.0,IN,Shipped,Easy Ship
406-0218328-1773963,Expedited,WALAJAPET,TAMIL NADU,632513.0,IN,Cancelled,
407-3742007-3242711,Expedited,HYDERABAD,TELANGANA,500086.0,IN,Shipped,
405-3067317-3360344,Expedited,GREATER NOIDA,UTTAR PRADESH,201306.0,IN,Shipped,
406-5648244-8317954,Expedited,New Delhi,DELHI,110019.0,IN,Shipped,
171-3460653-0171519,Expedited,GURUGRAM,HARYANA,122002.0,IN,Shipped,
404-5337874-2284337,Expedited,BENGALURU,KARNATAKA,560040.0,IN,Shipped,
405-2660443-4165145,Standard,BENGALURU,KARNATAKA,560022.0,IN,Shipped,Easy Ship
402-3329522-2367566,Expedited,MUMBAI,MAHARASHTRA,400069.0,IN,Shipped,
406-3078054-1755513,Expedited,BIJNOR,UTTAR PRADESH,246722.0,IN,Shipped,
171-4647176-6456305,Expedited,MUMBAI,MAHARASHTRA,400078.0,IN,Shipped,
408-5011528-8276347,Expedited,ALLAHABAD,UTTAR PRADESH,211001.0,IN,Shipped,
407-4097885-3129958,Standard,VASAI VIRAR,MAHARASHTRA,401202.0,IN,Shipped,Easy Ship
171-1224053-5752314,Standard,BENGALURU,KARNATAKA,560087.0,IN,,Easy Ship
406-2849582-6531553,Expedited,BIJNOR,UTTAR PRADESH,246701.0,IN,Shipped,
407-5875767-6399551,Expedited,HYDERABAD,TELANGANA,500085.0,IN,Shipped,
171-6336729-6763536,Expedited,BENGALURU,KARNATAKA,560037.0,IN,Unshipped,
404-3907920-5281963,Expedited,HYDERABAD,TELANGANA,500090.0,IN,Shipped,
408-7310428-6047538,Expedited,BENGALURU,KARNATAKA,560075.0,IN,Shipped,
403-2608092-6065935,Expedited,MANGALURU,KARNATAKA,575001.0,IN,Shipped,
404-9760385-9109154,Expedited,HYDERABAD,TELANGANA,500034.0,IN,Shipped,
405-0732969-3941948,Standard,NEW TOWN,WEST BENGAL,700059.0,IN,Shipped,Easy Ship
402-2720308-2560327,Expedited,MUMBAI,MAHARASHTRA,400016.0,IN,Shipped,
402-0589123-6183541,Expedited,MUMBAI,MAHARASHTRA,400016.0,IN,Shipped,
408-3874942-9917143,Expedited,SAMBHAL,UTTAR PRADESH,244302.0,IN,Shipped,
402-1706149-0949104,Expedited,NAGPUR,MAHARASHTRA,441002.0,IN,Shipped,
407-1672316-3245939,Expedited,ELAVANASURKOTTAI,TAMIL NADU,607202.0,IN,Shipped,
405-1832646-7988329,Expedited,SANGLI MIRAJ KUPWAD,MAHARASHTRA,416410.0,IN,Shipped,
408-9692204-9817146,Expedited,KALYAN,MAHARASHTRA,421306.0,IN,Unshipped,
402-9339129-6219537,Expedited,MYSURU,KARNATAKA,570016.0,IN,Unshipped,
405-3036350-8089120,Expedited,ANKLESHWR,Gujarat,393002.0,IN,Shipped,
404-6680046-0839536,Standard,Chennai,TAMIL NADU,600117.0,IN,Shipped,Easy Ship
406-2966654-4672325,Expedited,Greater Noida West,UTTAR PRADESH,201009.0,IN,Shipped,
403-4845285-4565113,Expedited,JAMMU,JAMMU & KASHMIR,180007.0,IN,Shipped,
171-4496851-5319548,Expedited,BENGALURU,KARNATAKA,560085.0,IN,Shipped,
408-3416118-1167564,Expedited,ITANAGAR,ARUNACHAL PRADESH,791113.0,IN,Shipped,
406-1590113-9193914,Expedited,KOLKATA,WEST BENGAL,700075.0,IN,Shipped,
404-0363929-8015528,Expedited,KARANJA,MAHARASHTRA,444105.0,IN,Shipped,
407-7173744-5333154,Standard,NEW DELHI,DELHI,110074.0,IN,Shipped,Easy Ship
405-6880044-2861120,Expedited,NIMBAHERA,RAJASTHAN,312620.0,IN,Shipped,
403-4337144-0984323,Expedited,JAMMU,JAMMU & KASHMIR,180007.0,IN,Cancelled,
171-1851948-5476361,Expedited,Imphal East,MANIPUR,795010.0,IN,Shipped,
171-5810429-4493110,Standard,BIDHAN NAGAR,WEST BENGAL,700064.0,IN,Shipped,
171-1068229-1581965,Expedited,BIDHAN NAGAR,WEST BENGAL,700064.0,IN,Shipped,
402-2105140-3584364,Expedited,BENGALURU,KARNATAKA,560064.0,IN,Shipped,
403-3561336-3563535,Expedited,AHMEDABAD,Gujarat,380015.0,IN,Shipped,
402-9532672-5385917,Expedited,TIRUCHIRAPPALLI,TAMIL NADU,620001.0,IN,Shipped,
408-4547464-4180323,Standard,BHUBANESWAR,ODISHA,752054.0,IN,Shipped,Easy Ship
402-2211107-5096323,Expedited,ALIGARH,UTTAR PRADESH,202001.0,IN,Shipped,
403-9412025-7537140,Expedited,KOCHI,KERALA,682006.0,IN,Shipped,
403-5456917-5571511,Expedited,GHAZIABAD,UTTAR PRADESH,201014.0,IN,Cancelled,
171-8452330-4756317,Expedited,PUNE,MAHARASHTRA,412207.0,IN,Shipped,
171-4350114-4299568,Standard,PUNE,MAHARASHTRA,412207.0,IN,Shipped,Easy Ship
405-8692900-3888310,Expedited,Bangalore,KARNATAKA,560016.0,IN,Shipped,
402-6750101-3923558,Expedited,MALAPPURAM,KERALA,676517.0,IN,Shipped,
403-5725327-6264327,Expedited,NOIDA,UTTAR PRADESH,201301.0,IN,Shipped,
403-5209693-1173944,Expedited,GREATER NOIDA,UTTAR PRADESH,201308.0,IN,Shipped,
403-8255889-7526765,Expedited,PATNA,BIHAR,800023.0,IN,Shipped,
407-3554912-7244363,Expedited,SIBSAGAR,ASSAM,785674.0,IN,Shipped,
407-4737202-9096304,Standard,GAYA,BIHAR,823001.0,IN,Shipped,Easy Ship
171-2842936-5423534,Expedited,BENGALURU,KARNATAKA,560083.0,IN,Shipped,
407-4936046-5852304,Standard,GURUGRAM,HARYANA,122001.0,IN,,Easy Ship
402-9580874-3525948,Expedited,KOLLAM,KERALA,691522.0,IN,Shipped,
404-7426070-1355530,Expedited,HYDERABAD,TELANGANA,500034.0,IN,Shipped,
406-4878137-1126707,Expedited,PUNE,MAHARASHTRA,411052.0,IN,Shipped,
171-3505516-3505949,Expedited,PUNE,MAHARASHTRA,411046.0,IN,Shipped,
406-6199849-7523514,Expedited,PERALASSERI,KERALA,670622.0,IN,Shipped,
406-6180074-2350757,Expedited,BENGALURU,KARNATAKA,560102.0,IN,Shipped,
406-2403215-8361103,Standard,BENGALURU,KARNATAKA,560102.0,IN,Shipped,Easy Ship
404-6578109-5618751,Standard,BENGALURU,KARNATAKA,560100.0,IN,Shipped,Easy Ship
407-2307966-4961113,Expedited,UDUPI,KARNATAKA,576104.0,IN,Shipped,
404-5539778-0029904,Expedited,MARIANI,ASSAM,785634.0,IN,Shipped,
171-6222676-0740318,Expedited,NEW DELHI,DELHI,110075.0,IN,Shipped,
403-2166075-2254703,Expedited,MANGALURU,KARNATAKA,575006.0,IN,Shipped,
407-5766340-7411567,Expedited,AHMEDABAD,Gujarat,380022.0,IN,Shipped,
404-0634392-1837110,Expedited,KARANJA,MAHARASHTRA,444105.0,IN,Cancelled,
408-2759943-9849959,Expedited,KOLKATA,WEST BENGAL,700051.0,IN,Shipped,
403-5977671-8855508,Standard,COOCH BEHAR,WEST BENGAL,736101.0,IN,Shipped,Easy Ship
408-9321153-0591557,Expedited,BENGALURU,KARNATAKA,560029.0,IN,Shipped,
404-0696150-3898703,Standard,PUNE,MAHARASHTRA,411037.0,IN,Shipped,Easy Ship
406-7586136-6520337,Standard,DEHRADUN,UTTARAKHAND,248009.0,IN,Shipped,Easy Ship
407-6146457-8788352,Expedited,GAYA,BIHAR,823001.0,IN,Shipped,
404-8514200-3544346,Expedited,BENGALURU,KARNATAKA,560036.0,IN,Cancelled,
404-7452877-2137949,Standard,BENGALURU,KARNATAKA,560036.0,IN,,Easy Ship
402-2703790-2816329,Standard,JHARIA KHAS,JHARKHAND,828111.0,IN,,Easy Ship
407-1515930-8661921,Expedited,KOLKATA,WEST BENGAL,700070.0,IN,Shipped,
405-9144614-1601126,Standard,Secunderabad,TELANGANA,500010.0,IN,Shipped,Easy Ship
407-0994909-4122733,Expedited,UDAIPUR,RAJASTHAN,313001.0,IN,Shipped,
402-7042386-5486768,Expedited,COIMBATORE,TAMIL NADU,641030.0,IN,Shipped,
403-7652993-1507525,Expedited,BHUBANESWAR,ODISHA,751006.0,IN,Shipped,
407-3847456-6656309,Expedited,BHAGALPUR,BIHAR,812003.0,IN,Shipped,
171-7623384-8040337,Expedited,NAGPUR,MAHARASHTRA,440036.0,IN,Shipped,
171-4607096-6413920,Standard,NAGPUR,MAHARASHTRA,440036.0,IN,Shipped,Easy Ship
404-6783988-2006729,Expedited,CHENNAI,TAMIL NADU,600096.0,IN,Shipped,
404-6975277-1927553,Standard,BERHAMPORE,WEST BENGAL,742103.0,IN,Shipped,Easy Ship
402-5586272-3646748,Expedited,Dehradun,UTTARAKHAND,248001.0,IN,Shipped,
171-6655820-6440356,Expedited,MUMBAI,MAHARASHTRA,400101.0,IN,Shipped,
171-1584788-8864335,Standard,MUMBAI,MAHARASHTRA,400101.0,IN,Shipped,Easy Ship
402-0150402-0900371,Expedited,SEONI,MADHYA PRADESH,480661.0,IN,Shipped,
408-6791822-5493964,Expedited,Agra,UTTAR PRADESH,282002.0,IN,Shipped,
405-0483874-0889137,Expedited,LUCKNOW,UTTAR PRADESH,226029.0,IN,Shipped,
407-5600921-2143569,Standard,BENGALURU,KARNATAKA,560067.0,IN,,Easy Ship
404-1607808-0769930,Expedited,PATNA,BIHAR,800001.0,IN,Cancelled,
407-5124083-2725136,Expedited,GHAZIABAD,UTTAR PRADESH,201012.0,IN,Shipped,
407-4766116-5412325,Expedited,Nermand,HIMACHAL PRADESH,172023.0,IN,Shipped,
402-6885004-6990731,Expedited,CHENNAI,TAMIL NADU,600010.0,IN,Shipped,
402-2207276-9869933,Expedited,KAMAREDDY,TELANGANA,503111.0,IN,Shipped,
407-9494293-9423561,Expedited,SRINAGAR,JAMMU & KASHMIR,190015.0,IN,Shipped,
171-6867266-8495534,Expedited,BENGALURU,KARNATAKA,560042.0,IN,Shipped,
408-3475592-6193128,Expedited,MUDDEBIHAL,KARNATAKA,586212.0,IN,Shipped,
171-1987024-2709164,Expedited,SANTHAMAGULURU MANDAL,ANDHRA PRADESH,523302.0,IN,Shipped,
406-1522425-5387565,Expedited,HYDERABAD,TELANGANA,500058.0,IN,Shipped,
171-3270734-5045130,Expedited,NEW DELHI,DELHI,110045.0,IN,Shipped,
408-4101226-7217932,Standard,LUCKNOW,UTTAR PRADESH,226010.0,IN,Shipped,Easy Ship
171-5719664-5449151,Expedited,BENGALURU,KARNATAKA,560042.0,IN,Unshipped,
403-9400764-4029123,Standard,BENGALURU,KARNATAKA,560102.0,IN,Shipped,
406-8413944-2634744,Expedited,Hyderabad,TELANGANA,500032.0,IN,Shipped,
406-8271099-5133911,Expedited,BENGALURU,KARNATAKA,562125.0,IN,Shipped,
405-3441326-1516368,Expedited,KOLKATA 700034,WEST BENGAL,700034.0,IN,Shipped,
408-8009772-6580317,Expedited,kolkata,WEST BENGAL,700045.0,IN,Shipped,
402-4774686-7773937,Standard,HYDERABAD,TELANGANA,500001.0,IN,Shipped,Easy Ship
402-2860689-5652319,Expedited,SEONI,MADHYA PRADESH,480661.0,IN,Shipped,
406-6386989-1689108,Standard,BARUIPUR,WEST BENGAL,700145.0,IN,Shipped,Easy Ship
408-9720884-9553122,Expedited,KENDRAPARA,ODISHA,754211.0,IN,Shipped,
408-6428766-2839536,Standard,KENDRAPARA,ODISHA,754211.0,IN,Shipped,Easy Ship
408-8641795-6914711,Expedited,GURUGRAM,HARYANA,122001.0,IN,Shipped,
402-9475978-1434754,Expedited,VIJAYAWADA,ANDHRA PRADESH,521225.0,IN,Shipped,
407-5776821-9327552,Expedited,MUMBAI,MAHARASHTRA,400072.0,IN,Shipped,
171-6845071-0336346,Expedited,NASHIK,MAHARASHTRA,422003.0,IN,Shipped,
404-7491342-1035558,Expedited,THANE,MAHARASHTRA,401107.0,IN,Shipped,
171-6783343-9758701,Expedited,HOSHIARPUR,PUNJAB,146001.0,IN,Shipped,
402-0043314-1059527,Expedited,SEONI,MADHYA PRADESH,480661.0,IN,Unshipped,
406-6586654-6641140,Standard,BENGALURU,KARNATAKA,560010.0,IN,Shipped,Easy Ship
405-6120626-0941135,Expedited,Bengaluru,KARNATAKA,560017.0,IN,Shipped,
408-9255314-3102740,Expedited,BARSHI,MAHARASHTRA,413401.0,IN,Shipped,
408-3436456-9893130,Expedited,MUMBAI,MAHARASHTRA,400080.0,IN,Shipped,
408-3870331-6287517,Expedited,Dehradun,UTTARAKHAND,248001.0,IN,Shipped,
407-2882576-2777135,Standard,HYDERABAD,TELANGANA,500089.0,IN,Shipped,Easy Ship
403-2256919-4846738,Standard,BENGALURU,KARNATAKA,560068.0,IN,Shipped,Easy Ship
403-2920089-2403567,Expedited,CHENNAI,TAMIL NADU,600036.0,IN,Shipped,
406-7792526-4685142,Expedited,HYDERABAD,TELANGANA,500028.0,IN,Shipped,
406-7680255-6117120,Expedited,HYDERABAD,TELANGANA,500028.0,IN,Shipped,
402-4646784-8411501,Standard,CHANDI MANDIR,HARYANA,134107.0,IN,Shipped,Easy Ship
405-2788163-4515521,Standard,ujjain,MADHYA PRADESH,456010.0,IN,Shipped,Easy Ship
405-1757140-2025918,Expedited,ujjain,MADHYA PRADESH,456010.0,IN,Shipped,
